;show_date;Artist;Title;Album;Year
22759;0_UNK_0;The Strokes;The Modern Age;Is This It;2002
22760;0_UNK_0;The Strokes;Soma;Is This It;2002
22761;0_UNK_0;The Strokes;Barely Legal;Is This It;2002
22762;0_UNK_0;The Strokes;Someday;Is This It;2002
22763;0_UNK_0;The Strokes;Alone Together;Is This It;2002
22764;0_UNK_0;The Strokes;Last Night;Is This It;2002
22765;0_UNK_0;The Strokes;Hard To Explain;Is This It;2002
22766;0_UNK_0;The Strokes;When It Started;Is This It;2002
22767;0_UNK_0;The Strokes;Trying Your Luck;Is This It;2002
22768;0_UNK_0;The Strokes;Take It Or Leave It;Is This It;2002
22769;0_UNK_0;The Strokes;NYC Cops;Is This It;2002
23168;0_UNK_0;Teenage Fanclub;Star Sign;Bandwagonesque;1991
23169;0_UNK_0;Teenage Fanclub;Star Sign;Bandwagonesque;1991
23297;0_UNK_0;The The;Love Is Stronger Than Death;45 RPM - The Singles of The The;2004
23371;0_UNK_0;They Might be giants;Don't Let's Start;They Might Be Giants;1986
24484;0_UNK_0;Tripping Daisy;Piranha;I Am An Elastic Firecracker;1995
25897;0_UNK_0;Wesley Willis;The Frogs;Greatest Hits Vol. 2;-1
25898;0_UNK_0;Wesley Willis;Amie;Greatest Hits Vol. 2;-1
25899;0_UNK_0;Wesley Willis;Girls on Film;Greatest Hits Vol. 2;-1
25919;0_UNK_0;Wesley Willis & The Dragnews;Verbal Assault;Greatest Hits - Volume 3;-1
25920;0_UNK_0;Wesley Willis & The Dragnews;The Viper Room;Greatest Hits - Volume 3;-1
25921;0_UNK_0;Wesley Willis & The Dragnews;I'm Going on a World Tour;Greatest Hits - Volume 3;-1
25922;0_UNK_0;Wesley Willis & The Dragnews;If;Greatest Hits - Volume 3;-1
25923;0_UNK_0;Wesley Willis & The Dragnews;Your Way Right Away;Greatest Hits - Volume 3;2003
25924;0_UNK_0;Wesley Willis & The Dragnews;Make My Joyplane Crash And Burn;Greatest Hits - Volume 3;2003
25925;0_UNK_0;Wesley Willis & The Dragnews;I Whipped Spiderman's Ass;Greatest Hits - Volume 3;-1
25926;0_UNK_0;Wesley Willis & The Dragnews;Suck a Pitbull's Dick;Greatest Hits - Volume 3;-1
25927;0_UNK_0;Wesley Willis & The Dragnews;Oprah Winfrey;Greatest Hits - Volume 3;-1
25928;0_UNK_0;Wesley Willis & The Dragnews;Love God;Greatest Hits - Volume 3;-1
25929;0_UNK_0;Wesley Willis & The Dragnews;I'm the Daddy of Rock and Roll;Greatest Hits - Volume 3;-1
25930;0_UNK_0;Wesley Willis & The Dragnews;My Keyboard Got Damaged;Greatest Hits - Volume 3;-1
25931;0_UNK_0;Wesley Willis & The Dragnews;Wrigley Field;Greatest Hits - Volume 3;-1
25932;0_UNK_0;Wesley Willis & The Dragnews;Chuckie;Greatest Hits - Volume 3;-1
25933;0_UNK_0;Wesley Willis & The Dragnews;Tom Petty and the Heartbreakers;Greatest Hits - Volume 3;2003
25934;0_UNK_0;Wesley Willis & The Dragnews;My Mother Smokes Crack Rocks;Greatest Hits - Volume 3;-1
25935;0_UNK_0;Wesley Willis & The Dragnews;Beware of Dog;Greatest Hits - Volume 3;-1
25936;0_UNK_0;Wesley Willis & The Dragnews;Gingerbread Knocked Me Out;Greatest Hits - Volume 3;-1
25937;0_UNK_0;Wesley Willis & The Dragnews;Do It;Greatest Hits - Volume 3;-1
25938;0_UNK_0;Wesley Willis & The Dragnews;Suck a Polar Bear's Dick;Greatest Hits - Volume 3;-1
25939;0_UNK_0;Wesley Willis & The Dragnews;The Horse Bit Me;Greatest Hits - Volume 3;-1
25940;0_UNK_0;Wesley Willis & The Dragnews;Carla Winterbottom;Greatest Hits - Volume 3;-1
25941;0_UNK_0;Wesley Willis & The Dragnews;Catalina;Greatest Hits - Volume 3;-1
25942;0_UNK_0;Wesley Willis & The Dragnews;Benny the Bull;Greatest Hits - Volume 3;-1
25943;0_UNK_0;Wesley Willis & The Dragnews;It's the End of the Western;Greatest Hits - Volume 3;-1
26036;0_UNK_0;The White Stripes;Dead Leaves And The Dirty Ground;White Blood Cells;2001
26037;0_UNK_0;The White Stripes;Hotel Yorba;White Blood Cells;2001
26038;0_UNK_0;The White Stripes;I'm Finding It Harder To Be A Gentleman;White Blood Cells;2001
26039;0_UNK_0;The White Stripes;Fell In Love With A Girl;White Blood Cells;2001
26040;0_UNK_0;The White Stripes;Expecting;White Blood Cells;2001
26041;0_UNK_0;The White Stripes;Little Room;White Blood Cells;2001
26042;0_UNK_0;The White Stripes;The Union Forever;White Blood Cells;2001
26043;0_UNK_0;The White Stripes;The Same Boy You've Always Known;White Blood Cells;2001
26044;0_UNK_0;The White Stripes;We're Going To Be Friends;White Blood Cells;2001
26045;0_UNK_0;The White Stripes;Offend In Every Way;White Blood Cells;2001
26046;0_UNK_0;The White Stripes;I Think I Smell A Rat;White Blood Cells;2001
26047;0_UNK_0;The White Stripes;Aluminum;White Blood Cells;2001
26048;0_UNK_0;The White Stripes;I Can't Wait;White Blood Cells;2001
26049;0_UNK_0;The White Stripes;Now Mary;White Blood Cells;2001
26050;0_UNK_0;The White Stripes;I Can Learn;White Blood Cells;2001
26051;0_UNK_0;The White Stripes;This Protector;White Blood Cells;2001
26840;0_UNK_0;The Wonder Stuff;The Size of a Cow;Never Loved Elvis;2000
26842;0_UNK_0;The Wonder Stuff;Sleep Alone;Never Loved Elvis;1991
27128;0_UNK_0;Yeah Yeah Yeahs;Rich;Fever To Tell;2003
27129;0_UNK_0;Yeah Yeah Yeahs;Date With A Night;Fever To Tell;2003
27130;0_UNK_0;Yeah Yeah Yeahs;Man;Fever To Tell;2003
27131;0_UNK_0;Yeah Yeah Yeahs;Tick;Fever To Tell;2003
27132;0_UNK_0;Yeah Yeah Yeahs;Black Tongue;Fever To Tell;2003
27133;0_UNK_0;Yeah Yeah Yeahs;Pin;Fever To Tell;2003
27134;0_UNK_0;Yeah Yeah Yeahs;Cold Night;Fever To Tell;2003
27135;0_UNK_0;Yeah Yeah Yeahs;No No No;Fever To Tell;2003
27136;0_UNK_0;Yeah Yeah Yeahs;Maps;Fever To Tell;2003
27137;0_UNK_0;Yeah Yeah Yeahs;Y-Control;Fever To Tell;2003
27138;0_UNK_0;Yeah Yeah Yeahs;Modern Romance;Fever To Tell;2003
