;show_date;Artist;Title;Album;Year
0;Jan 5. 2023 ;Ty Segall;Son of Sam;Singles 2007-2010;2011
0;Jan 5. 2023 ;Alex G;Runner;Runner;2022
0;Jan 5. 2023 ;Weezer;In The Garage;Weezer;1994
0;Jan 5. 2023 ;The Breeders;Divine Hammer;Divine Hammer;1993
0;Jan 5. 2023 ;Blondie;Call Me;Blondie 4(0)-Ever: Greatest Hits Deluxe Redux / Ghosts Of Download;2014
0;Jan 1. 2023 ;Sylvan Esso;Radio;Indie Summer;2019
0;Jan 1. 2023 ;Vampire Weekend;The Kids Don't Stand a Chance;The Kids Don't Stand a Chance;2008
0;Jan 1. 2023 ;Supersuckers;Coattail Rider;Coattail Rider;2008
0;Jan 1. 2023 ;The Grifters;Parting Shot;Parting Shot;2008
0;Jan 1. 2023 ;Veruca Salt;Seether;90s Rock Gold;2009
0;Jan 1. 2023 ;Violent Femmes;Out The Window;Why Do Birds Sing?;1991
0;Jan 1. 2023 ;Ty Segall;Thank God For Sinners;Twins;2012
0;Jan 1. 2023 ;Modest Mouse;Satin In A Coffin;Good News For People Who Love Bad News;2007
0;Jan 1. 2023 ;Parquet Courts;Steady on My Mind;Steady on My Mind;2016
0;Jan 1. 2023 ;The Afghan Whigs;Now You Know;Gentlemen;1993
0;Jan 1. 2023 ;T-Bone Scarpone;Big Bad Wolf;The Cowboy with the Black Hat (A Spaghetti Western);2017
0;Jan 1. 2023 ;Daniel Johnston;Casper The Friendly Ghost;Kids;2015
0;Jan 1. 2023 ;Ultimate Sound Effects Library;Car Sound Effects;Sound Effects Library for Internet Videos. Vol. 1;2015
0;Jan 1. 2023 ;Frankie Cosmos;So Blue;Close It Quietly;2019
0;Jan 1. 2023 ;Deerhunter;Back to the Middle;Back to the Middle;2013
0;Jan 1. 2023 ;DIIV;Mire (Grant's Song);Is the Is Are;2015
0;Jan 1. 2023 ;Stef Chura;Sweet Sweet Midnight;Midnight;2019
0;Jan 1. 2023 ;The Strokes;Between Love & Hate;Room On Fire;2020
0;Jan 1. 2023 ;Interpol;Roland;Roland;2012
0;Jan 1. 2023 ;Summer Twins;Forget Me;Forget Me;2013
0;Jan 1. 2023 ;The Kills;No Wow;No Wow;2005
0;Jan 1. 2023 ;Radiohead;Everything In Its Right Place;Everything In Its Right Place;2000
0;Jan 1. 2023 ;The Jon Spencer Blues Explosion;Lovin' Machine;Road Trip;2007
0;Jan 1. 2023 ;Guided by Voices;Bury the Mouse;Warp and Woof;2014
0;Jan 1. 2023 ;King Tuff;Radiation;Radiation;2014
0;Jan 1. 2023 ;Lucy Dacus;Dancing In The Dark;Dancing In The Dark;2019
0;Jan 1. 2023 ;King Khan & the Shrines;I Got Made;Idle No More;2013
0;Jan 1. 2023 ;Pavement;Unfair;Unfair;2010
0;Jan 1. 2023 ;Jay Reatard;Fading All Away;Blood Visions;2016
0;Jan 1. 2023 ;Sonny & The Sunsets;green blood;Antenna To The Afterworld;2013
0;Jan 1. 2023 ;Arcade Fire;Black Mirror;Neon Bible;2017
0;Dec 29. 2022;Talking Heads;Love----> Building On Fire (Remastered Album Version );The Best Of Talking Heads;2004
0;Dec 29. 2022;Sebadoh;Social Medicine (Remastered);Bakesale [Deluxe Edition];2011
0;Dec 29. 2022;The Walkmen;We've Been Had;The Walkmen;2009
0;Dec 29. 2022;The Clean;Oddity;Anthology;2003
0;Dec 29. 2022;Thao & The Get Down Stay Down;Nobody Dies;A Man Alive;2016
0;Dec 29. 2022;Husker Du;Sorry Somehow;Sorry Somehow;2008
0;Dec 29. 2022;Ultra Orange;Don't Kiss Me Goodbye;Ultra Orange & Emmanuelle (Digital Deluxe Edition);2007
0;Dec 29. 2022;Parquet Courts;Freebird II;Freebird II;2018
0;Dec 29. 2022;Sonic Youth;I'm Not There;I'm Not There (Music From The Motion Picture);2007
0;Dec 29. 2022;TEEN;Better;Better;2012
0;Dec 29. 2022;Strapping Fieldhands;The Author In Her Ear;Wattle & Daub;1996
0;Dec 29. 2022;Daniel Johnston;Mean Girls Give Pleasure;Space Ducks: Soundtrack;2012
0;Dec 29. 2022;Bob Mould;Voices in My Head;Voices in My Head;2016
0;Dec 29. 2022;Super Furry Animals;Something 4 the Weekend;Zoom! The Best Of (1995-2016);2016
0;Dec 29. 2022;Courtney Barnett;Write a List of Things to Look Forward To;Things Take Time. Take Time;2021
0;Dec 29. 2022;Teenage Fanclub;Everything Is Falling Apart;Everything Is Falling Apart;2019
0;Dec 29. 2022;Swearin';Grow into a Ghost;Fall into the Sun;2018
0;Dec 29. 2022;Shout Out Louds;Shut Your Eyes;Howl Howl Gaff Gaff;2005
0;Dec 29. 2022;Vampire Weekend;Finger Back;Finger Back;2013
0;Dec 29. 2022;Pixies;Monkey Gone To Heaven;Death To The Pixies;1997
0;Dec 29. 2022;My Morning Jacket;Off The Record;Z;2008
0;Dec 29. 2022;Arcade Fire;Sprawl II (Mountains Beyond Mountains);The Suburbs;2010
0;Dec 29. 2022;Dan Auerbach;Street Walkin';Street Walkin';2012
0;Dec 29. 2022;The Apples in stereo;Energy;New Magnetic Wonder;2007
0;Dec 29. 2022;The Dead Weather;I'm Mad;I'm Mad;2010
0;Dec 29. 2022;Built To Spill;Randy Described Eternity;Randy Described Eternity;1997
0;Dec 29. 2022;Silver Jews;Party Barge;Lookout Mountain. Lookout Sea;2008
0;Dec 29. 2022;Yeah Yeah Yeahs;Sacrilege;Mosquito (Deluxe Version);2014
0;Dec 29. 2022;Ty Segall;Fuzzy Cat;Singles 2007-2010;2011
0;Dec 29. 2022;Matt and Kim;Cutdown;Cutdown;2009
0;Dec 25. 2022;Triumphant Quartet;Jesus Is Your Ticket To Heaven;Love Came Calling;2010
0;Dec 25. 2022;Talking Heads;Love----> Building On Fire (Remastered Album Version );The Best Of Talking Heads;2004
0;Dec 25. 2022;Sebadoh;Social Medicine (Remastered);Bakesale [Deluxe Edition];2011
0;Dec 25. 2022;The Walkmen;We've Been Had;The Walkmen;2009
0;Dec 25. 2022;The Clean;Oddity;Anthology;2003
0;Dec 25. 2022;Thao & The Get Down Stay Down;Nobody Dies;A Man Alive;2016
