Artist;Title;Album;Year
Chimaira;Without Mortal Restraint;The Impossibility Of Reason;2004
Wolfbrigade;Fr̴n Vaggan Till Graven;In Darkness You Feel No Regrets;2003
Grip Inc.;The Answer;Incorporated;2004
Stratovarius;Falling Into Fantasy;Intermission;2001
Iron Maiden;Sanctuary;Iron Maiden;1980
Finntroll;F̦dosagan;Jaktens Tid;2001
Helloween;Eagle Fly Free;Keeper Of The Seven Keys Part 2;2006
Metallica;The Four Horsemen;Kill 'em All;1983
Iron Maiden;Wrathchild;Killers;1981
Crumbsuckers;Trapped;Life of Dreams;1999
Wolfpack;Wails of Death;Lycanthro Punk;1998
Merauder;Life Is Pain;Master Killer;1996
Black Sabbath;After Forever;Master of Reality;1971
Dragonforce;Tomorrow's Kings;Maximum Overload;2014
Mercyful Fate;Curse Of The Pharaohs;Melissa;1983
Mercyful Fate;Nuns Have No Fun;Mercyful Fate;1982
Judas Priest;Electric Eye;Metal Works 1973-1993 [Disc1] [1 of 2] [Remast;-1
Judas Priest;Electric Eye;Metal Works '73 -'93;1993
Judas Priest;You've Got Another Thing Comin';Metal Works 73-93 (Disc 2);1993
Black Sabbath;Johnny Blade;Never Say Die;1978
Iron Maiden;Holy Smoke;No Prayer For The Dying;1990
Moi Dix Mois;Nocturnal Romance;Nocturnal Opera;2003
Iron Maiden;Children Of The Damned;The Number Of the Beast;1998
Type O Negative;[untitled];October Rust;1996
Hellshock;The Company Of Fools;Only The Dead Know The End Of War LP;2003
Ozzy Osbourne;War Pigs;The Ozzman Cometh;1997
Judas Priest;Hell Patrol;Painkiller;1990
Judas Priest;Hell Patrol;Painkiller [The Re-Masters];1990
Black Sabbath;Paranoid;Paranoid;1970
Judas Priest;Don't Go;Point Of Entry;1981
Grip Inc.;Savage Seas (Retribution);Power of Inner Strength;1995
Amebix;The power remains;The Power Remains;1999
Iron Maiden;2 Minutes To Midnight;Powerslave;1984
Ludichrist;Zad;Powertrip;2000
Judas Priest;Heavy Metal;Ram It Down;1988
Metallica;Ride The Lightning;Ride the Lightning;1984
Judas Priest;Rocka Rolla;Rocka Rolla;1974
Judas Priest;Rocka Rolla;Rocka Rolla (Digipak Re-release);1974
Black Sabbath;A National Acrobat;Sabbath Bloody Sabbath;1973
Black Sabbath;Don't Start (Too Late);Sabotage;1975
Judas Priest;The Ripper;Sad Wings of Destiny;1976
Judas Priest;The Ripper;Sad Wings of Destiny (Digipak re-release);1976
Judas Priest;Electric Eye;Screaming for Vengeance;1982
Iron Maiden;Infinite Dreams;Seventh Son Of A Seventh Son;1988
Jesus Lizard;Deaf As A Bat;Show;1993
Judas Priest;Diamonds And Rust;Sin After Sin;1977
Judas Priest;Diamonds And Rust;Sin After Sin [The Re-Masters];1977
Labyrinth;Kathryn;Sons Of Thunder;2000
Judas Priest;White Heat, Red Hot;Stained Class;1978
Judas Priest;White Heat, Red Hot;Stained Class (remastered);1978
Black Sabbath;You Won't Change Me;Technical Ecstasy;1976
All Shall Perish;There Is Nothing Left;This Is Where It Ends;2011
Therapy?;Screamager;Troublegum;1994
Stratovarius;The Hands Of Time;Twilight Time;1999
