;show_date;Artist;Title;Album;Year
166;Jan 1. 2023 ;Stef Chura;Sweet Sweet Midnight;Midnight;2019
167;Jan 1. 2023 ;The Strokes;Between Love & Hate;Room On Fire;2020
168;Jan 1. 2023 ;Interpol;Roland;Roland;2012
169;Jan 1. 2023 ;Summer Twins;Forget Me;Forget Me;2013
170;Jan 1. 2023 ;The Kills;No Wow;No Wow;2005
171;Jan 1. 2023 ;Radiohead;Everything In Its Right Place;Everything In Its Right Place;2000
172;Jan 1. 2023 ;The Jon Spencer Blues Explosion;Lovin' Machine;Road Trip;2007
173;Jan 1. 2023 ;Guided by Voices;Bury the Mouse;Warp and Woof;2014
174;Jan 1. 2023 ;King Tuff;Radiation;Radiation;2014
175;Jan 1. 2023 ;Lucy Dacus;Dancing In The Dark;Dancing In The Dark;2019
176;Jan 1. 2023 ;King Khan & the Shrines;I Got Made;Idle No More;2013
177;Jan 1. 2023 ;Pavement;Unfair;Unfair;2010
178;Jan 1. 2023 ;Jay Reatard;Fading All Away;Blood Visions;2016
179;Jan 1. 2023 ;Sonny & The Sunsets;green blood;Antenna To The Afterworld;2013
180;Jan 1. 2023 ;Arcade Fire;Black Mirror;Neon Bible;2017
181;Dec 29. 2022;Talking Heads;Love----> Building On Fire (Remastered Album Version );The Best Of Talking Heads;2004
182;Dec 29. 2022;Sebadoh;Social Medicine (Remastered);Bakesale [Deluxe Edition];2011
183;Dec 29. 2022;The Walkmen;We've Been Had;The Walkmen;2009
184;Dec 29. 2022;The Clean;Oddity;Anthology;2003
185;Dec 29. 2022;Thao & The Get Down Stay Down;Nobody Dies;A Man Alive;2016
186;Dec 29. 2022;Husker Du;Sorry Somehow;Sorry Somehow;2008
187;Dec 29. 2022;Ultra Orange;Don't Kiss Me Goodbye;Ultra Orange & Emmanuelle (Digital Deluxe Edition);2007
188;Dec 29. 2022;Parquet Courts;Freebird II;Freebird II;2018
189;Dec 29. 2022;Sonic Youth;I'm Not There;I'm Not There (Music From The Motion Picture);2007
190;Dec 29. 2022;TEEN;Better;Better;2012
191;Dec 29. 2022;Strapping Fieldhands;The Author In Her Ear;Wattle & Daub;1996
192;Dec 29. 2022;Daniel Johnston;Mean Girls Give Pleasure;Space Ducks: Soundtrack;2012
